"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","652625","","","","0"
"2007","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","657733","","","","0"
"2008","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","657720","","","","0"
"2009","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","637298","","","","0"
"2010","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","656103","","","","0"
"2011","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","671942","","","","0"
"2012","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","680792","","","","0"
"2013","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","690275","","","","0"
"2014","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","707589","","","","0"
"2015","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","724946","","","","0"
"2016","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","740164","","","","0"
"2017","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","761025","","","","0"
"2018","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","782115","","","","0"
"1990","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","38284","","","","0"
"1991","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","37004","","","","0"
"1992","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","37272","","","","0"
"1993","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","37304","","","","0"
"1994","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","38774","","","","0"
"1995","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","38795","","","","0"
"1996","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","39800","","","","0"
"1997","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","41525","","","","0"
"1998","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","43381","","","","0"
"1999","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","43990","","","","0"
"2000","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","45856","","","","0"
"2001","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","46346","","","","0"
"2002","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","47142","","","","0"
"2003","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","47766","","","","0"
"2004","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","48948","","","","0"
"2005","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","50322","","","","0"
"2006","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","52166","","","","0"
"2007","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","53501","","","","0"
"2008","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","55454","","","","0"
"2009","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","55370","","","","0"
"2010","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","56727","","","","0"
"2011","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","58087","","","","0"
"2012","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","59846","","","","0"
"2013","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","61583","","","","0"
"2014","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","62853","","","","0"
"2015","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","63628","","","","0"
"2016","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","64549","","","","0"
"2017","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","66670","","","","0"
"2018","Manitoba","2016A000246","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788080","8.1.38","67670","","","","0"
"1990","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","49630","","","","0"
"1991","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","50010","","","","0"
"1992","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","47799","","","","0"
"1993","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","50849","","","","0"
"1994","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","52840","","","","0"
"1995","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","53426","","","","0"
"1996","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","55034","","","","0"
"1997","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","57399","","","","0"
"1998","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","59879","","","","0"
"1999","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","59943","","","","0"
"2000","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","61503","","","","0"
"2001","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","60993","","","","0"
"2002","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","60789","","","","0"
"2003","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","63564","","","","0"
"2004","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","66605","","","","0"
"2005","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","68360","","","","0"
"2006","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","67347","","","","0"
"2007","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","69855","","","","0"
"2008","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","73518","","","","0"
"2009","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","69597","","","","0"
"2010","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","72851","","","","0"
"2011","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","76697","","","","0"
"2012","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","78007","","","","0"
"2013","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","83111","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","84786","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","84072","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","84006","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","86180","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788197","9.1.38","87232","","","","0"
"1990","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","149568","","","","0"
"1991","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","150229","","","","0"
"1992","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","151229","","","","0"
"1993","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","162978","","","","0"
"1994","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","172000","","","","0"
"1995","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","177278","","","","0"
"1996","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","181537","","","","0"
"1997","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","193931","","","","0"
"1998","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","203479","","","","0"
"1999","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","206002","","","","0"
"2000","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","218678","","","","0"
"2001","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","222271","","","","0"
"2002","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","227363","","","","0"
"2003","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","235234","","","","0"
"2004","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","248322","","","","0"
"2005","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","259282","","","","0"
"2006","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","275756","","","","0"
"2007","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","280600","","","","0"
"2008","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","285125","","","","0"
"2009","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","269322","","","","0"
"2010","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","282702","","","","0"
"2011","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","300948","","","","0"
"2012","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","312708","","","","0"
"2013","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","330548","","","","0"
"2014","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","350033","","","","0"
"2015","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","337069","","","","0"
"2016","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","325421","","","","0"
"2017","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","340062","","","","0"
"2018","Alberta","2016A000248","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788314","10.1.38","346611","","","","0"
"1990","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","126129","","","","0"
"1991","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","126535","","","","0"
"1992","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","130049","","","","0"
"1993","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","136155","","","","0"
"1994","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","139733","","","","0"
"1995","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","143402","","","","0"
"1996","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","147052","","","","0"
"1997","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","151968","","","","0"
"1998","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","153811","","","","0"
"1999","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","159162","","","","0"
"2000","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","166405","","","","0"
"2001","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","167541","","","","0"
"2002","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","174214","","","","0"
"2003","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","178240","","","","0"
"2004","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","185250","","","","0"
"2005","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","194460","","","","0"
"2006","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","203053","","","","0"
"2007","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","209419","","","","0"
"2008","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","210903","","","","0"
"2009","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","205878","","","","0"
"2010","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","211749","","","","0"
"2011","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","218203","","","","0"
"2012","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","223329","","","","0"
"2013","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","228310","","","","0"
"2014","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","236696","","","","0"
"2015","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","241509","","","","0"
"2016","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","248262","","","","0"
"2017","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","257724","","","","0"
"2018","British Columbia","2016A000259","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788431","11.1.38","264765","","","","0"
"1990","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1495","","","","0"
"1991","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1448","","","","0"
"1992","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1731","","","","0"
"1993","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1385","","","","0"
"1994","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1384","","","","0"
"1995","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1575","","","","0"
"1996","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1741","","","","0"
"1997","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1620","","","","0"
"1998","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1544","","","","0"
"1999","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1537","","","","0"
"2000","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1589","","","","0"
"2001","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1662","","","","0"
"2002","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1643","","","","0"
"2003","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1625","","","","0"
"2004","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1707","","","","0"
"2005","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1744","","","","0"
"2006","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1826","","","","0"
"2007","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","1919","","","","0"
"2008","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2113","","","","0"
"2009","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2253","","","","0"
"2010","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2343","","","","0"
"2011","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2460","","","","0"
"2012","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2558","","","","0"
"2013","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2595","","","","0"
"2014","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2614","","","","0"
"2015","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2409","","","","0"
"2016","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2588","","","","0"
"2017","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2634","","","","0"
"2018","Yukon","2016A000260","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788548","12.1.38","2734","","","","0"
"1990","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3689","","","","0"
"1991","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3614","","","","0"
"1992","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3485","","","","0"
"1993","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3708","","","","0"
"1994","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3730","","","","0"
"1995","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3671","","","","0"
"1996","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","3760","","","","0"
"1997","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","4047","","","","0"
"1998","Northwest Territories including Nunavut","","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v79441837","16.1.38","4113","","","","0"
"1990","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1991","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1992","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1993","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1994","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1995","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1996","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1997","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1998","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","","..","","","0"
"1999","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","3369","","","","0"
"2000","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","3594","","","","0"
"2001","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4350","","","","0"
"2002","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4654","","","","0"
"2003","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5265","","","","0"
"2004","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5401","","","","0"
"2005","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5346","","","","0"
"2006","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5352","","","","0"
"2007","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5841","","","","0"
"2008","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","5293","","","","0"
"2009","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4722","","","","0"
"2010","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4843","","","","0"
"2011","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4408","","","","0"
"2012","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4394","","","","0"
"2013","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4521","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4735","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4779","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62788665","13.1.38","4712","","","","0"
