"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","933784","","","","0"
"2000","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","933821","","","","0"
"2001","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","932494","","","","0"
"2002","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935179","","","","0"
"2003","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937717","","","","0"
"2004","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","939664","","","","0"
"2005","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937926","","","","0"
"2006","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937882","","","","0"
"2007","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935115","","","","0"
"2008","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935897","","","","0"
"2009","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","938208","","","","0"
"2010","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","942107","","","","0"
"2011","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","944274","","","","0"
"2012","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","943635","","","","0"
"2013","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","940434","","","","0"
"2014","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","938545","","","","0"
"2015","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","936525","","","","0"
"2016","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","942790","","","","0"
"2017","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","950108","","","","0"
"2018","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","958406","","","","0"
"1990","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","740156","","","","0"
"1991","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745567","","","","0"
"1992","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748121","","","","0"
"1993","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748812","","","","0"
"1994","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750185","","","","0"
"1995","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750943","","","","0"
"1996","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","752268","","","","0"
"1997","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","752511","","","","0"
"1998","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750530","","","","0"
